product_name,ingredient_list,cluster,x,y
(Sephora) Cosmo Lip Scrub- Cherry,"flavor, ricinus communis (castor) seed oil (and) olea europaea (olive) fruit oil (and) beeswax (and) hydrogenated castor oil (and) glycine soja (soybean) lipids (and) lauryl laurate (and) copernicia cerifera (carnauba) wax (and) euphorbia cerifera (candelilla) wax, tocopherol",5,10.939128,14.703649
(Sephora) Cosmo Lip Scrub- Coconut,"cocos nucifera (coconut) oil, flavor, ricinus communis (castor) seed oil (and) olea europaea (olive) fruit oil (and) beeswax (and) hydrogenated castor oil (and) glycine soja (soybean) lipids (and) lauryl laurate (and) copernicia cerifera (carnauba) wax (and) euphorbia cerifera (candelilla) wax, tocopherol",5,10.927801,14.701522
(Sephora) Cosmo Lip Scrub- Dragon Fruit,"flavor, ricinus communis (castor) seed oil (and) olea europaea (olive) fruit oil (and) beeswax (and) hydrogenated castor oil (and) glycine soja (soybean) lipids (and) lauryl laurate (and) copernicia cerifera (carnauba) wax (and) euphorbia cerifera (candelilla) wax, tocopherol",5,10.951455,14.722498
(Sephora) Cosmo Lip Scrub- Lychee,"butylene glycol (and) litchi chinensis pericarp extract, flavor, ricinus communis (castor) seed oil (and) olea europaea (olive) fruit oil (and) beeswax (and) hydrogenated castor oil (and) glycine soja (soybean) lipids (and) lauryl laurate (and) copernicia cerifera (carnauba) wax (and) euphorbia cerifera (candelilla) wax, tocopherol",5,10.930675,14.709509
(Sephora) Cosmo Lip Scrub- Rose,"flavor, ricinus communis (castor) seed oil (and) olea europaea (olive) fruit oil (and) beeswax (and) hydrogenated castor oil (and) glycine soja (soybean) lipids (and) lauryl laurate (and) copernicia cerifera (carnauba) wax (and) euphorbia cerifera (candelilla) wax, rosa canina fruit oil, tocopherol",5,10.925865,14.710388
(Sephora) Cosmo Lip Scrub- Watermelon,"citrullus lanatus (watermelon) fruit extract, flavor, ricinus communis (castor) seed oil (and) olea europaea (olive) fruit oil (and) beeswax (and) hydrogenated castor oil (and) glycine soja (soybean) lipids (and) lauryl laurate (and) copernicia cerifera (carnauba) wax (and) euphorbia cerifera (candelilla) wax, tocopherol",5,10.9357815,14.712422
0.1% Sol. D&C Red No.17k7007,"ci 26100, liquid paraffin",5,11.155284,4.5587525
0.1% Sol. D&C Violet 2 Lavenya Rosemary,"ci 60725, liquid paraffin",5,11.307826,4.4112906
0.4% Sol. D&C Brown No.1,"benzyl alcohol (and) ethylhexylglycerin (and) tocopherol, ci 20170, deionized water, disodium edta",5,7.896943,-0.0941212
1%Sol. Carbopol 940,"acrylates/c10-30 alkyl acrylate crosspolymer, deionized water, disodium edta, methyl chloro isothiazolinone, triethanolamine",1,14.872024,-0.64816904
1%Sol. Carbopol Ultrez 21,"acrylates/c10-30 alkyl acrylate crosspolymer, deionized water, disodium edta, methyl chloro isothiazolinone, triethanolamine",1,14.872307,-0.6468931
10 in 1 Soap 90g,,5,9.569857,3.6892495
20% Menthol,"menthol, polysorbate 20",5,11.354943,1.1308918
20% PVA,"deionized water, disodium edta, methylchloroisothiazolinone / methylisothiazolinone, polyvynyl alcohol",5,12.107365,0.96901226
3%Sol. Carbopol 940,"acrylates/c10-30 alkyl acrylate crosspolymer, deionized water, disodium edta, methyl chloro isothiazolinone, triethanolamine",1,14.87577,-0.6526948
3%Sol. Carbopol 940 ขาด TEA,"acrylates/c10-30 alkyl acrylate crosspolymer, deionized water, disodium edta, methyl chloro isothiazolinone",1,14.893458,-0.6703905
3%Sol. Carbopol Ultrez-21,"acrylates/c10-30 alkyl acrylate crosspolymer, deionized water, disodium edta, methyl chloro isothiazolinone, triethanolamine",1,14.880951,-0.65777326
3%Sol. Carbopol Ultrez-21 ขาด TEA,"acrylates/c10-30 alkyl acrylate crosspolymer, deionized water, disodium edta, methyl chloro isothiazolinone",1,14.881013,-0.657634
5% Sol. D&C Brown No.1+ 1%  Covarine Black WS 9199,"ci 20170, ci 77266 (and) glycerin (and) aqua (and) pvp, deionized water",5,8.015517,-0.15603079
5%Sol. Carbopol 940,"acrylates/c10-30 alkyl acrylate crosspolymer, deionized water, disodium edta, methyl chloro isothiazolinone, triethanolamine",1,14.879375,-0.65633464
5%Sol. Carbopol Ultrez 21,"acrylates/c10-30 alkyl acrylate crosspolymer, deionized water, disodium edta, methyl chloro isothiazolinone, triethanolamine",1,14.87906,-0.65570205
75% w/w. Alcohol Spray Sanitizer,"deionized water, ethanol, fragrance",1,11.67167,0.7997763
ACNI-DS Plus Face Wash 75 ml,"acrylates copolymer, aqua, cocamidopropyl betaine, disodium edta, fragrance, glycereth-7 caprylate/caprate, glycerine, methylchloroisothiazolinone / methylisothiazolinone, polysorbate 20, sodium leureth sulfate , triethanolanide 99.5%",9,2.0092342,2.7830777
